1,wireless earbuds,electronics,45.75,500
2,wireless keyboard mouse combo,electronics,44,350
3,Echo Dot,electronics,49.99,2000
4,Wireless Security Cameras System,electronics,339.99,150
5,HD Projector,electronics,164,250
6,Finding Meaning in the Second Half of Life,books,13.6,600
7,How We Got to Now,books,14.95,400
8,Watership Down,books,21.99,175
9,Nonviolent Communication,books,12.99,325
10,48 Laws of Power,books,14.95,980
11,LED Headlamp,outdoors,8.99,2000
12,Mess Kit 17pcs,outdoors,25.99,800
13,Hammock SingleNest,outdoors,49.95,425
14,Sleeping Bag 0degreeF Mummy,outdoors,39.99,500
15,Tent Coleman Montana Blue 8-Person,outdoors,129.35,250
16,Instant Pot,kitchen,79,850
17,Kitchen Utensil Set 23 pcs,kitchen,19.99,400
18,Cutting Board Bamboo,kitchen,19.94,250
19,Knife Block Set 15 pcs,kitchen,85.02,600
20,KitchenAid 5 Qt,kitchen,279.96,675
